update,avg_reward
0,-168
1,-608
2,-68
3,-100
4,-73
5,-187
6,100
7,-7
8,-434
9,-271
10,-68
11,93
12,-101
13,87
14,87
15,-112
16,69
17,-101
18,11
19,18
20,87
21,-156
22,99
23,-100
24,-101
25,-100
26,18
27,93
28,87
29,100
30,18
31,-257
32,14
33,75
34,-101
35,69
36,-186
37,87
38,8
39,14
40,100
41,63
42,-98
43,62
44,-80
45,18
46,81
47,87
48,-86
49,75
50,57
51,93
52,69
53,-112
54,69
55,-100
56,63
57,100
58,12
59,100
60,57
61,11
62,87
63,10
64,100
65,10
66,-86
67,8
68,69
69,69
70,93
71,100
72,63
73,63
74,-86
75,69
76,75
77,-100
78,69
79,81
80,100
81,-154
82,10
83,14
84,18
85,12
86,93
87,87
88,57
89,100
90,18
91,69
92,62
93,99
94,14
95,69
96,100
97,69
98,-146
99,99
100,62
101,8
102,81
103,87
104,75
105,75
106,10
107,63
108,-64
109,100
110,-178
111,69
112,-181
113,-18
114,100
115,100
116,-64
117,-86
118,69
119,-181
120,100
121,-106
122,87
123,100
124,18
125,63
126,100
127,-64
128,87
129,69
130,14
131,69
132,81
133,93
134,93
135,75
136,100
137,12
138,75
139,-181
140,8
141,87
142,62
143,100
144,-64
145,100
146,-18
147,69
148,14
149,87
150,75
151,75
152,-86
153,-181
154,18
155,14
156,100
157,-86
158,18
159,87
160,75
161,57
162,75
163,18
164,87
165,63
166,69
167,57
168,12
169,11
170,-18
171,62
172,-181
173,18
174,69
175,69
176,18
177,-18
178,87
179,-18
180,69
181,57
182,14
183,99
184,18
185,63
186,57
187,81
188,75
189,-18
190,-18
191,69
192,57
193,99
194,99
195,99
196,63
197,8
198,18
199,100
200,-181
201,87
202,14
203,14
204,57
205,100
206,62
207,100
208,11
209,63
210,75
211,100
212,-181
213,10
214,75
215,99
216,18
217,87
218,57
219,100
220,75
221,-181
222,62
223,69
224,87
225,-86
226,81
227,62
228,100
229,93
230,100
231,69
232,62
233,-86
234,62
235,100
236,10
237,69
238,14
239,-181
240,81
241,-18
242,12
243,81
244,-181
245,93
246,-18
247,63
248,63
249,57
250,63
251,-181
252,57
253,62
254,12
255,14
256,87
257,62
258,75
259,18
260,63
261,-18
262,12
263,69
264,63
265,57
266,63
267,62
268,8
269,14
270,57
271,-86
272,10
273,93
274,57
275,18
276,-181
277,99
278,93
279,87
280,75
281,62
282,87
283,75
284,100
285,10
286,8
287,100
288,81
289,100
290,62
291,-181
292,63
293,62
294,10
295,8
296,8
297,14
298,-181
