update,avg_reward
0,-100
1,-458
2,-68
3,-100
4,-359
5,14
6,100
7,-195
8,-73
9,-23
10,-68
11,-188
12,-100
13,-73
14,-148
15,-100
16,-188
17,-192
18,-79
19,8
20,-73
21,-86
22,14
23,-178
24,-101
25,-100
26,8
27,-67
28,-73
29,100
30,8
31,-167
32,14
33,-100
34,-101
35,-91
36,-186
37,-73
38,-62
39,14
40,100
41,-100
42,-98
43,-356
44,-240
45,18
46,-79
47,-73
48,-272
49,-235
50,-253
51,-67
52,-91
53,-100
54,-241
55,-100
56,-100
57,100
58,12
59,100
60,-106
61,11
62,-73
63,-240
64,100
65,-240
66,-156
67,-62
68,-91
69,-91
70,-67
71,100
72,-100
73,-100
74,-156
75,-91
76,-85
77,-158
78,-91
79,-79
80,100
81,6
82,-240
83,14
84,18
85,12
86,-67
87,-73
88,-103
89,100
90,18
91,-91
92,-101
93,14
94,14
95,-1
96,100
97,-1
98,-76
99,14
100,-418
101,-62
102,-79
103,-73
104,-155
105,-85
106,-240
107,-7
108,6
109,100
110,-88
111,-1
112,-76
113,-248
114,100
115,100
116,6
117,-156
118,-1
119,-86
120,100
121,-163
122,-73
123,100
124,18
125,-7
126,100
127,6
128,-73
129,-1
130,99
131,-1
132,-79
133,-67
134,-67
135,-155
136,100
137,12
138,5
139,-76
140,-62
141,-73
142,-101
143,100
144,6
145,100
146,-88
147,-1
148,99
149,-73
150,5
151,-155
152,-156
153,-76
154,18
155,99
156,100
157,-156
158,18
159,-73
160,5
161,-83
162,-155
163,18
164,-73
165,-7
166,-1
167,-83
168,12
169,11
170,-88
171,-101
172,-76
173,18
174,-1
175,-1
176,18
177,-88
178,-73
179,-88
180,-1
181,-83
182,99
183,14
184,18
185,-7
186,-83
187,-79
188,-155
189,-88
190,-88
191,-1
192,-83
193,-100
194,14
195,14
196,-7
197,-62
198,18
199,100
200,-76
201,-73
202,99
203,99
204,-83
205,100
206,-101
207,100
208,11
209,-7
210,-155
211,100
212,-76
213,-240
214,5
215,14
216,18
217,-73
218,-83
219,100
220,-155
221,-76
222,-101
223,-1
224,-73
225,-156
226,-79
227,-88
228,100
229,-67
230,100
231,-1
232,-101
233,-156
234,-88
235,100
236,-240
237,-1
238,99
239,-76
240,-79
241,-88
242,12
243,-79
244,-76
245,-67
246,-88
247,-100
248,-7
249,-83
250,-100
251,-76
252,-83
253,-88
254,12
255,99
256,-73
257,-101
258,5
259,18
260,-157
261,-88
262,12
263,-1
264,-7
265,-83
266,-7
267,-88
268,-62
269,99
270,-83
271,-156
272,-240
273,-67
274,-83
275,18
276,-76
277,14
278,-67
279,-73
280,-155
281,-88
282,-73
283,-155
284,100
285,-240
286,-62
287,100
288,-79
289,100
290,-101
291,6
292,-7
293,-88
294,-240
295,-62
296,-62
297,99
298,-76
299,6
300,18
301,-155
302,100
303,-1
304,18
305,6
306,-62
307,-101
308,-62
309,-240
310,100
311,-88
312,-83
313,-73
314,-155
315,-240
316,-7
317,100
318,-67
319,-1
320,-7
321,18
322,-73
323,100
324,11
325,18
326,-73
327,-67
328,-240
329,-7
330,-73
331,-1
332,-101
333,99
334,-88
335,99
336,-73
337,12
338,-62
339,-88
340,14
341,-76
342,-240
343,-1
344,12
345,-1
346,-73
347,100
348,-240
349,-73
350,-100
351,-163
352,-100
353,-156
354,100
355,6
356,18
357,11
358,100
359,-240
360,100
361,-100
362,-156
363,14
364,-157
365,-73
366,-67
367,99
368,-83
369,-240
370,-240
371,-156
372,-83
373,-73
374,-7
375,-100
376,-83
377,-73
378,-83
379,6
380,100
381,-100
382,-1
383,6
384,-73
385,100
386,18
387,100
388,12
389,18
390,5
391,-67
392,-79
393,100
394,100
395,14
396,-73
397,-1
398,100
399,6
400,-83
401,-155
402,5
403,-62
404,-156
405,-88
406,-156
407,-155
408,-156
409,100
410,6
411,100
412,100
413,-83
414,-73
415,-67
416,-240
417,99
418,11
419,-73
420,12
421,-7
422,6
423,-240
424,-155
425,-156
426,5
427,-73
428,-100
429,-73
430,-1
431,-1
432,-100
433,14
434,-83
435,-62
436,-1
437,99
438,18
439,99
440,-157
441,-100
442,-1
443,-62
444,-1
445,-100
446,100
447,-7
448,18
449,-7
450,-62
451,-88
452,-1
453,-83
454,-73
455,-157
456,14
457,-100
458,14
459,-73
460,-100
461,-7
462,-1
463,6
464,-83
465,100
466,18
467,18
468,100
469,18
470,100
471,-88
472,100
473,-79
474,14
475,11
476,100
477,-83
478,100
479,-73
480,-73
481,-155
482,12
483,-79
484,-88
485,-83
486,-156
487,-100
488,-73
489,-67
490,100
491,-157
492,11
493,-100
494,-83
495,11
496,-67
497,-83
498,100
499,5
500,-1
501,11
502,-73
503,12
504,-88
505,-88
506,-100
507,-88
508,-73
509,14
510,-157
511,-157
512,12
513,-1
514,-240
515,-157
516,-155
517,-100
518,-83
519,11
520,100
521,-240
522,-83
523,-79
524,-240
525,-73
526,-100
527,12
528,-101
529,-156
530,100
531,6
532,-157
533,-1
534,-7
535,-240
536,5
537,99
538,-1
539,-76
540,-67
541,-62
542,-1
543,99
544,18
545,-7
546,5
547,6
548,-79
549,-73
550,-240
551,-1
552,100
553,-1
554,-1
555,-155
556,-73
557,-240
558,-88
559,100
560,-101
561,100
562,-1
563,-88
564,-88
565,6
566,-157
567,-240
568,-100
569,14
570,-67
571,100
572,-7
573,-7
574,-83
575,-76
576,6
577,-79
578,6
579,-67
580,6
581,12
582,-83
583,-155
584,-73
585,-157
586,86
587,100
588,-8
589,-67
590,100
591,93
592,74
593,100
594,74
595,100
596,74
597,81
598,81
599,86
600,14
601,100
602,86
603,-67
604,86
605,81
606,-8
607,74
608,86
609,93
610,-62
611,74
612,-1
613,-62
614,87
615,80
616,-13
617,-100
618,80
619,-13
620,-1
621,-100
622,-100
623,81
624,-73
625,-1
626,-73
627,-157
628,74
629,-73
630,-13
631,68
632,-8
633,93
634,-8
635,86
636,-155
637,-8
638,-62
639,-100
640,-73
641,80
642,-156
643,81
644,-157
645,-62
646,-240
647,-156
648,-100
649,-13
650,-62
651,-13
652,-13
653,-101
654,-157
655,-62
656,74
657,-155
658,-62
659,-156
660,-73
661,14
662,-240
663,-8
664,74
665,-73
666,14
667,-79
668,-8
669,-13
670,74
671,100
672,86
673,-8
674,-13
675,68
676,-62
677,81
678,-1
679,80
680,-156
681,86
682,-155
683,-155
684,-156
685,-100
686,-100
687,-13
688,-156
689,-155
690,-100
691,-240
692,100
693,-62
694,86
695,87
696,80
697,-100
698,81
699,100
700,80
701,-13
702,86
703,-8
704,100
705,-13
706,99
707,-8
708,-13
709,-155
710,100
711,81
712,74
713,100
714,-67
715,-1
716,100
717,-8
718,-157
719,100
720,-101
721,87
722,-1
723,74
724,100
725,-8
726,-240
727,-101
728,-240
729,-13
730,-1
731,-13
732,-79
733,81
734,87
735,74
736,87
737,-100
738,86
739,81
740,-157
741,-100
742,93
743,-156
744,93
745,93
746,-100
747,100
748,-1
749,-157
750,-8
751,68
752,-1
753,-157
754,-1
755,100
756,-101
757,-73
758,93
759,14
760,-62
761,99
762,-67
763,74
764,-13
765,-73
766,-100
767,68
768,74
769,93
770,-13
771,-79
772,87
773,-1
774,74
775,74
776,81
777,14
778,-156
779,-13
780,-101
781,100
782,-73
783,-13
784,-8
785,-73
786,100
787,-13
788,-156
789,-8
790,99
791,99
792,81
793,-157
794,-156
795,-67
796,-101
797,87
798,-157
799,100
800,80
801,-8
802,-100
803,-101
804,100
805,-79
806,68
807,-8
808,-79
809,-73
810,-1
811,-240
812,-13
813,74
814,68
815,-101
816,-156
817,-79
818,-73
819,-156
820,99
821,100
822,-8
823,68
824,-8
825,-8
826,80
827,14
828,-240
829,-240
830,-8
831,-101
832,14
833,14
834,-73
835,-240
836,14
837,-156
838,-13
839,-73
840,99
841,100
842,-100
843,81
844,81
845,68
846,81
847,-240
848,-13
849,100
850,86
851,-73
852,-13
853,68
854,80
855,-62
856,-13
857,-73
858,100
859,-79
860,100
861,68
862,-67
863,-67
864,-155
865,-8
866,74
867,99
868,74
869,68
870,80
871,86
872,74
873,14
874,80
875,68
876,80
877,100
878,100
879,87
880,-79
881,-240
882,-67
883,-13
884,-156
885,87
886,100
887,-73
888,-1
889,-13
890,-100
891,-13
892,-8
893,87
894,-13
895,-13
896,86
897,-62
898,-8
899,-62
900,74
901,87
902,-157
903,-157
904,-101
905,99
906,-8
907,-157
908,74
909,14
910,-79
911,-13
912,99
913,-8
914,81
915,-156
916,-156
917,68
918,74
919,-8
920,81
921,86
922,-13
923,-73
924,-156
925,-8
926,-73
927,-1
928,80
929,-73
930,-100
931,-101
932,-101
933,-67
934,-13
935,80
936,80
937,-155
938,-62
939,-8
940,-73
941,-155
942,14
943,87
944,14
945,100
946,-67
947,87
948,-73
949,-73
950,80
951,-79
952,80
953,-73
954,81
955,93
956,80
957,100
958,-62
959,80
960,-156
961,86
962,-13
963,-8
964,74
965,74
966,86
967,74
968,86
969,-155
970,-73
971,-157
972,81
973,-156
974,-101
975,-73
976,-79
977,-101
978,74
979,-8
980,-1
981,14
982,100
983,68
984,-1
985,87
986,-8
987,14
988,-73
989,-156
990,100
991,-73
992,86
993,99
994,-156
995,-62
996,99
997,81
998,68
999,-67
1000,100
1001,74
1002,80
1003,100
1004,-73
1005,93
1006,81
1007,100
1008,-156
1009,-67
1010,-13
1011,100
1012,14
1013,80
1014,-155
1015,-13
1016,-8
1017,-240
1018,-1
1019,81
1020,74
1021,68
1022,81
1023,-157
1024,-157
1025,-13
1026,-13
1027,99
1028,14
1029,100
1030,-157
1031,80
1032,93
